condition,seed,delta
low_sample_noisy,0.0,-0.6032307942708334
low_sample_noisy,1.0,0.7237752278645834
low_sample_noisy,2.0,-1.6454060872395833
low_sample_noisy,3.0,-1.5866597493489583
low_sample_noisy,4.0,-1.8765767415364583
mixed_context,0.0,-2.7010599772135415
mixed_context,1.0,-2.6888529459635415
mixed_context,2.0,-4.212188720703125
mixed_context,3.0,-3.7091573079427085
mixed_context,4.0,-3.6684672037760415
nuisance_dominant,0.0,7.030995686848958
nuisance_dominant,1.0,7.914479573567708
nuisance_dominant,2.0,5.518595377604167
nuisance_dominant,3.0,4.450480143229167
nuisance_dominant,4.0,4.49981689453125
task_aligned,0.0,2.45513916015625
task_aligned,1.0,3.533935546875
task_aligned,2.0,3.6341349283854165
task_aligned,3.0,2.5054931640625
task_aligned,4.0,2.3824055989583335
