phase,bn,feedback_scale,contrast,n,mean,sd,low,high,assumption,width,budget
stability,False,0.1,ndfa - dfa,5,12.159999999999998,3.0398437459843226,8.38553546044639,15.934464539553607,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,
stability,False,0.1,endfa - dfa,5,-0.6219999999999998,3.437683813267299,-4.890448228141845,3.6464482281418453,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,
stability,False,0.1,kndfa - ndfa,5,2.064,1.3430673847577421,0.3963615811846257,3.7316384188153746,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,
stability,False,1.0,ndfa - dfa,5,13.425999999999998,5.651241456529707,6.409056938270446,20.44294306172955,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,
stability,False,1.0,endfa - dfa,5,3.7279999999999993,3.411183079226324,-0.5075432207571944,7.9635432207571935,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,
stability,False,1.0,kndfa - ndfa,5,-0.4600000000000007,4.735604502067293,-6.340029619948632,5.420029619948631,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,
stability,True,0.1,ndfa - dfa,5,4.488000000000003,0.8546168732244881,3.426852996259684,5.549147003740322,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,
stability,True,0.1,endfa - dfa,5,-1.9019999999999992,0.9690562419178769,-3.1052422478240667,-0.6987577521759318,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,
stability,True,0.1,kndfa - ndfa,5,0.479999999999996,0.6701865411958068,-0.35214650028354266,1.3121465002835346,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,
stability,True,1.0,ndfa - dfa,5,6.967999999999999,2.1058062588946798,4.353296181138315,9.582703818861683,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,
stability,True,1.0,endfa - dfa,5,-4.447999999999999,1.4078245629338901,-6.196045075581963,-2.6999549244180345,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,
stability,True,1.0,kndfa - ndfa,5,-3.083999999999998,1.589112960113281,-5.057144351651677,-1.1108556483483192,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,
width,,,ndfa - dfa,5,4.412000000000003,1.3199507566572344,2.773064666056894,6.050935333943111,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,1024.0,
width,,,endfa - dfa,5,0.15200000000000213,0.39156097864828254,-0.33418717028900397,0.6381871702890083,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,1024.0,
width,,,ediag - dfa,5,0.10800000000000254,0.43631410703757756,-0.43375551861698214,0.6497555186169872,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,1024.0,
width,,,endfa - ediag,5,0.043999999999999595,0.2461300469264167,-0.26161081814473564,0.3496108181447348,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,1024.0,
width,,,kndfa - ndfa,5,-0.025999999999997137,0.22311432047271312,-0.3030330192146626,0.2510330192146683,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,1024.0,
width,,,ndfa - dfa,5,6.295999999999999,1.2902247866166616,4.693974332867954,7.898025667132044,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,2048.0,
width,,,endfa - dfa,5,0.11200000000000099,0.5432954997052721,-0.5625904623701604,0.7865904623701624,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,2048.0,
width,,,ediag - dfa,5,0.36399999999999877,1.0096187399211658,-0.8896072412719647,1.6176072412719622,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,2048.0,
width,,,endfa - ediag,5,-0.2519999999999978,0.9606612306114988,-1.4448184645204218,0.9408184645204263,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,2048.0,
width,,,kndfa - ndfa,5,0.20400000000000196,0.26482069405543196,-0.1248183217879621,0.5328183217879661,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,2048.0,
work,,,ndfa - dfa,5,2.0240000000000014,0.24027068069158986,1.7256645459613413,2.322335454038661,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,60.0
work,,,ndfa - bp,5,-1.6179999999999972,0.433266661537676,-2.155971615253266,-1.0800283847467282,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,60.0
work,,,ndfa - fd_dfa,5,-0.24799999999999933,0.9637790203153462,-1.4446897117496613,0.9486897117496627,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,60.0
work,,,ndfa - dfa,5,2.258000000000002,0.4235209557979437,1.7321292767008463,2.7838707232991573,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,120.0
work,,,ndfa - bp,5,-0.611999999999997,0.40641112189505807,-1.116626058526693,-0.10737394147330093,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,120.0
work,,,ndfa - fd_dfa,5,0.040000000000000036,0.33697180890988243,-0.37840576353300015,0.4584057635330002,Independent approximately normal global-seed differences; fixed designed grid and feedback draws,,120.0
