phase,development,id,width,method,rho,seed,status,validation_accuracy,validation_loss,validation_logit_abs_max,validation_top_1pct_loss_fraction,update_seconds,test_accuracy,test_loss,test_logit_abs_max,test_top_1pct_loss_fraction,bn,feedback_scale,budget
width,True,dev_w1024_endfa_r3_s62000,1024,endfa,3.0,62000,complete,0.4735,1.5571837448401924,12.416886329650879,0.042624710464700816,21.53412330680294,,,,,,,
width,True,dev_w1024_endfa_r3_s62001,1024,endfa,3.0,62001,complete,0.4515,1.5425628158975144,11.308457374572754,0.0412691483398954,19.287216893746518,,,,,,,
width,True,dev_w1024_endfa_r30_s62000,1024,endfa,30.0,62000,complete,0.5055,1.4413724019184142,11.510501861572266,0.04112569442033515,19.287674261053326,,,,,,,
width,True,dev_w1024_endfa_r30_s62001,1024,endfa,30.0,62001,complete,0.483,1.4440957114811226,11.698311805725098,0.04112713630725913,19.255823127750773,,,,,,,
width,True,dev_w1024_endfa_r300_s62000,1024,endfa,300.0,62000,complete,0.518,1.3884756573370816,11.265920639038086,0.040925336486864625,19.265079249758855,,,,,,,
width,True,dev_w1024_endfa_r300_s62001,1024,endfa,300.0,62001,complete,0.5115,1.3615150832139302,13.03035831451416,0.04342041018520702,19.306921284842247,,,,,,,
width,True,dev_w1024_endfa_r3000_s62000,1024,endfa,3000.0,62000,complete,0.5165,1.3802479176708697,12.1305570602417,0.042204583791151454,19.297790121207072,,,,,,,
width,True,dev_w1024_endfa_r3000_s62001,1024,endfa,3000.0,62001,complete,0.508,1.3531135907518823,13.015359878540039,0.042749668739665306,19.36333426101919,,,,,,,
width,True,dev_w1024_ediag_r3_s62000,1024,ediag,3.0,62000,complete,0.5135,1.3855856244875053,11.061907768249512,0.041327214864794695,14.08809338377614,,,,,,,
width,True,dev_w1024_ediag_r3_s62001,1024,ediag,3.0,62001,complete,0.5095,1.360269450769918,11.918426513671875,0.04330659737184468,14.113854824085138,,,,,,,
width,True,dev_w1024_ediag_r30_s62000,1024,ediag,30.0,62000,complete,0.504,1.3856691782280008,12.1357421875,0.04169997164364476,14.07682258614659,,,,,,,
