tag,n_seeds,mean,sem,finals
bp,3,83.96666665039062,0.040551751539877494,"[83.9, 83.96, 84.04]"
dfa_layer4,3,77.82000000203452,0.20297782939742,"[77.56, 78.22, 77.68]"
dfa_l34,3,70.53333328857423,0.06960205177215803,"[70.66, 70.42, 70.52]"
dfa_l234,3,62.066666652425134,0.11680942797648046,"[61.94, 61.96, 62.3]"
dfa_all,3,54.713333304850266,0.2971718602121565,"[55.04, 54.98, 54.12]"
ndfaDiag_layer4,3,77.31999997558593,0.19218050038066714,"[76.94, 77.46, 77.56]"
ndfaDiag_l34,3,71.09999994303386,0.2553429000828545,"[71.44, 71.26, 70.6]"
ndfaDiag_l234,3,62.733333329264326,0.18269585877840527,"[63.08, 62.46, 62.66]"
ndfaDiag_all,3,51.39333330485025,2.671063026597704,"[54.86, 46.14, 53.18]"
ndfaFull_layer4,3,77.35333328653972,0.19055474072360373,"[77.36, 77.68, 77.02]"
ndfaFull_l34,3,66.89333331909181,0.7638790162734032,"[67.98, 67.28, 65.42]"
ndfaFull_l234,3,65.87999997558593,0.3340658634141402,"[65.64, 66.54, 65.46]"
ndfaFull_all,3,54.579999959309895,0.19731530129465585,"[54.22, 54.62, 54.9]"
