method,depth,seed,val_top1,source_sha256
dfa,layer4,0,52.43999996948242,087f5d6cfa40f24a716fb5f91058ec77691eeb3e96aee9faf784212a5987c605
dfa,layer4,1,54.22000001220703,c5b50a279a0c31e8e7e269afb55f9388451e738f7e0718158a1a4a3ed9ca48be
dfa,layer4,2,53.42000001831055,521e1ab75630dfbba052dcd9a3215eeefcdef46468b7eeec996d6b43faf200c9
dfa,all,0,34.859999963378904,0ceab6c118abecec4dcfde3d0553a20f250d489358ff6ca82ae6efd36300225b
dfa,all,1,38.15999996643066,189deb9930b39272dffccdff2b4401b31625ac9b5fa7dc987b820700d7626a4b
dfa,all,2,33.68000001220703,3fa2fbc15a9ecd7182444cd7445ebd2bbc28da4c67166bf21e1259b73c9e03d2
ndfaDiag,layer4,0,55.26000001831055,b38be0d0cf00f90057ab266d79ec893092e9b328fbe90e88de967c530258cf1b
ndfaDiag,layer4,1,55.33999994506836,b69566b22b55decffd96b1284d17252878253f94760b29de79329b6ef4aa0d6a
ndfaDiag,layer4,2,55.77999992675781,891fa9f30d9108d30ae3c474e150bc8b07bc19249e48509bd27228643124f3a9
ndfaDiag,all,0,43.679999981689456,785b85097a9d022183e0b9b39cacc8956a5517746e32bcc1d4a5fd363d7ae3c7
ndfaDiag,all,1,42.53999996643066,da575edd6f64a08e94e8a038d8181480519f5d366ea437d66e865980a8a539c4
ndfaDiag,all,2,42.33999998474121,b589cb90f0546abdb52b407054cf2d9d7b0ca99906afc49779d87ab92ad153e1
ndfaFull,layer4,0,39.01999998474121,cbabd2f3ecc66f4790741e580720e49702d884ee40dbea401cf4ec4b8f4d18a2
ndfaFull,layer4,1,41.87999996337891,4f1a15dffc483f78ac96ab2f212dc124de8885f00fbed33738811c768bd31bdf
ndfaFull,layer4,2,38.21999996948242,6156d13e1678feba8acd0b29ffca5360a877addb46c468faf3b74eebc52faa9c
ndfaFull,all,0,39.99999999084473,ef895abdb5b1b8590a5fbb0447c4f2ef79fe7de87022bef73ad3d13641f31148
ndfaFull,all,1,40.799999996948245,f0c6bc0df8ff34ff73b3660639a5b81c1ea1d12e72f74c750ce6c0ad607bef62
ndfaFull,all,2,40.87999999694824,451efb49aa60bb2524de12fd33920df50f8b361743e14330d26a9c26aad68713
