condition,method,seed,feedback_seed,feedback_rank,epoch,n_train,input_noise,train_label_noise,test_acc
nuisance_dominant,dfa_random,1.0,1.0,0.0,14.0,512.0,0.15,0.2,0.194580078125
nuisance_dominant,dfa_random,2.0,1.0,0.0,14.0,512.0,0.15,0.2,0.227294921875
nuisance_dominant,dfa_random,2.0,0.0,0.0,14.0,512.0,0.15,0.2,0.245849609375
nuisance_dominant,dfa_random,3.0,0.0,0.0,14.0,512.0,0.15,0.2,0.23779296875
nuisance_dominant,dfa_random,2.0,2.0,0.0,14.0,512.0,0.15,0.2,0.228271484375
nuisance_dominant,dfa_random,4.0,2.0,0.0,14.0,512.0,0.15,0.2,0.226318359375
nuisance_dominant,dfa_random,4.0,1.0,0.0,14.0,512.0,0.15,0.2,0.23486328125
nuisance_dominant,dfa_random,1.0,0.0,0.0,14.0,512.0,0.15,0.2,0.18603515625
nuisance_dominant,dfa_random,1.0,2.0,0.0,14.0,512.0,0.15,0.2,0.181884765625
low_sample_noisy,dfa_random,2.0,2.0,0.0,14.0,1024.0,0.05,0.0,0.848388671875
low_sample_noisy,dfa_random,3.0,2.0,0.0,14.0,1024.0,0.05,0.0,0.863037109375
low_sample_noisy,dfa_random,3.0,1.0,0.0,14.0,1024.0,0.05,0.0,0.880615234375
low_sample_noisy,dfa_random,4.0,0.0,0.0,14.0,1024.0,0.05,0.0,0.850341796875
nuisance_dominant,dfa_random,0.0,2.0,0.0,14.0,512.0,0.15,0.2,0.22412109375
task_aligned,dfa_random,3.0,0.0,0.0,14.0,512.0,0.15,0.4,0.699951171875
task_aligned,dfa_random,2.0,2.0,0.0,14.0,512.0,0.15,0.4,0.703125
low_sample_noisy,dfa_random,3.0,0.0,0.0,14.0,1024.0,0.05,0.0,0.8671875
nuisance_dominant,dfa_random,3.0,2.0,0.0,14.0,512.0,0.15,0.2,0.258056640625
task_aligned,dfa_random,4.0,0.0,0.0,14.0,512.0,0.15,0.4,0.7451171875
low_sample_noisy,dfa_random,0.0,1.0,0.0,14.0,1024.0,0.05,0.0,0.863037109375
task_aligned,dfa_random,4.0,2.0,0.0,14.0,512.0,0.15,0.4,0.7685546875
task_aligned,dfa_random,4.0,1.0,0.0,14.0,512.0,0.15,0.4,0.704833984375
nuisance_dominant,dfa_random,3.0,1.0,0.0,14.0,512.0,0.15,0.2,0.2607421875
low_sample_noisy,dfa_random,0.0,0.0,0.0,14.0,1024.0,0.05,0.0,0.854248046875
nuisance_dominant,dfa_random,4.0,0.0,0.0,14.0,512.0,0.15,0.2,0.231201171875
low_sample_noisy,dfa_random,1.0,1.0,0.0,14.0,1024.0,0.05,0.0,0.812255859375
low_sample_noisy,dfa_random,2.0,1.0,0.0,14.0,1024.0,0.05,0.0,0.85888671875
