dataset,n_train,n_test,label_noise,test_label_noise,method,feedback_rank,natural_damping,nc_update_interval,nc_manifold_rank,test_mean,test_sem,train_mean,activity_angle,projected_step,alpha,dim_fraction,margin,feedback_norm,n,pre_activity_condition_mean,pre_activity_effective_rank_mean,pre_activity_top1_fraction_mean,local_error_condition_mean,local_error_effective_rank_mean,local_error_top1_fraction_mean,bp_error_condition_mean,bp_error_effective_rank_mean,bp_error_top1_fraction_mean
cifar10,1000.0,3000.0,0.0,0.0,bp,0.0,0.3,10.0,64.0,0.3411999940872192,0.0041507713688088,0.997265625,,,,,,,5,1641.301968383789,53.32206726074219,0.2267718419432639,1.0000000953674315,65.74589385986329,0.1208222694694995,1.0000000953674315,65.74589385986329,0.1208222694694995
cifar10,1000.0,3000.0,0.1,0.0,bp,0.0,0.3,10.0,64.0,0.3283333301544189,0.0024152277713262,0.997265625,,,,,,,5,1645.0150909423828,53.1547233581543,0.2279553771018981,1.0000000953674315,69.93955078125,0.1083664953708648,1.0000000953674315,69.93955078125,0.1083664953708648
cifar10,1000.0,3000.0,0.2,0.0,bp,0.0,0.3,10.0,64.0,0.3041999936103821,0.0037157306522452,0.994921875,,,,,,,5,1640.456021118164,53.5958366394043,0.2267098262906074,1.0000001311302185,70.22607116699218,0.1096441790461539,1.0000001311302185,70.22607116699218,0.1096441790461539
cifar10,1000.0,3000.0,0.4,0.0,bp,0.0,0.3,10.0,64.0,0.2489999949932098,0.0027182501239586,0.996875,,,,,,,5,1643.865231323242,53.65425186157226,0.2280851483345031,1.0000001311302185,73.81864738464355,0.1063850216567516,1.0000001311302185,73.81864738464355,0.1063850216567516
cifar10,3000.0,3000.0,0.0,0.0,bp,0.0,0.3,10.0,64.0,0.3964000046253204,0.002124980829442,0.972265625,,,,,,,5,1663.1626098632812,53.95002708435059,0.2201340705156325,1.000000298023224,51.31161575317383,0.1724534273147582,1.000000298023224,51.31161575317383,0.1724534273147582
cifar10,3000.0,3000.0,0.1,0.0,bp,0.0,0.3,10.0,64.0,0.3620000004768371,0.0060717959306086,0.96875,,,,,,,5,1660.9021575927734,54.634887313842775,0.2200250118970871,1.000000286102295,61.55354270935059,0.1418269768357276,1.000000286102295,61.55354270935059,0.1418269768357276
cifar10,3000.0,3000.0,0.2,0.0,bp,0.0,0.3,10.0,64.0,0.338999992609024,0.0040879236257152,0.977734375,,,,,,,5,1656.3355499267575,54.892204666137694,0.2184421598911285,1.000000202655792,69.79897804260254,0.1179900363087653,1.000000202655792,69.79897804260254,0.1179900363087653
cifar10,3000.0,3000.0,0.4,0.0,bp,0.0,0.3,10.0,64.0,0.277999997138977,0.006797059027275,0.973046875,,,,,,,5,1655.452798461914,55.29530982971191,0.218339355289936,1.000000202655792,78.61615982055665,0.0904018722474574,1.000000202655792,78.61615982055665,0.0904018722474574
cifar10,10000.0,3000.0,0.0,0.0,bp,0.0,0.3,10.0,64.0,0.3771333277225493,0.0186397395976924,0.7625,,,,,,,5,1633.0152740478516,55.99935188293457,0.2034590989351272,1.000001895427704,64.76216049194336,0.165679907053709,1.000001895427704,64.76216049194336,0.165679907053709
cifar10,10000.0,3000.0,0.1,0.0,bp,0.0,0.3,10.0,64.0,0.3335333347320556,0.0270457642146548,0.72578125,,,,,,,5,1641.648388671875,55.94092140197754,0.2054700896143912,1.0000017285346985,78.87214965820313,0.1379019573330879,1.0000017285346985,78.87214965820313,0.1379019573330879
cifar10,10000.0,3000.0,0.2,0.0,bp,0.0,0.3,10.0,64.0,0.3170666635036469,0.021531219779309,0.729296875,,,,,,,5,1642.8646514892578,56.22242393493652,0.2058072105050087,1.0000013709068298,88.61260833740235,0.1201022870838641,1.0000013709068298,88.61260833740235,0.1201022870838641
cifar10,10000.0,3000.0,0.4,0.0,bp,0.0,0.3,10.0,64.0,0.2416666686534881,0.0248868557769231,0.637890625,,,,,,,5,1654.0943145751953,56.07617301940918,0.2083109989762306,1.000001883506775,103.38835906982422,0.1132241435348987,1.000001883506775,103.38835906982422,0.1132241435348987
cifar10,1000.0,3000.0,0.0,0.0,dfa_random,0.0,0.3,10.0,64.0,0.1792000005642572,0.0079284364456605,0.196875,87.74898476740299,-2.580421188062869e-05,0.9495647768179576,0.09375,0.8558147768179576,,15,1833717.4524169925,21.824114322662357,0.3269027481476466,1.0007436792055766,26.45959474245707,0.2413385098179181,1308780.698555374,9.364424379666646,0.4171517252922058
cifar10,1000.0,3000.0,0.1,0.0,dfa_random,0.0,0.3,10.0,64.0,0.166844443976879,0.0062545529080562,0.1740885416666666,89.63228352721204,-4.395942054124864e-05,0.947593237956365,0.09375,0.853843237956365,,15,1567659.9357503254,22.100290139516197,0.3124405970176061,1.0007575194040934,26.923380692799885,0.2430805740257104,998789.2053078492,9.56520291964213,0.3941960434118907
cifar10,1000.0,3000.0,0.2,0.0,dfa_random,0.0,0.3,10.0,64.0,0.1586888879537582,0.006972467875831,0.1494791666666666,89.04619406051162,-1.3171841343032548e-05,0.9551897943019868,0.09375,0.8614397943019867,,15,1781705.3607503255,21.754218498865765,0.3155325978994369,1.0008445302645366,25.556548325220746,0.2460479818284511,7848220.202540906,7.499706776936849,0.4712749987840652
cifar10,1000.0,3000.0,0.4,0.0,dfa_random,0.0,0.3,10.0,64.0,0.1393555551767349,0.0081114240581139,0.1225260416666666,98.51317566985816,-0.0001233398837683,0.9561859945456188,0.09375,0.8624359945456187,,15,1887523.9357503252,21.40469439824422,0.3339974949757258,1.0008583227793375,25.71964148680369,0.2754374851783116,1857350.6092158,6.159885803858439,0.5275009910265605
cifar10,3000.0,3000.0,0.0,0.0,dfa_random,0.0,0.3,10.0,64.0,0.2261333326498667,0.006411613278643,0.2373697916666666,74.78368783719931,9.297725437892412e-05,0.9295678039391836,0.09375,0.8358178039391836,,15,5217455.398193359,22.616923054059345,0.3330096373955408,1.0006781458854674,28.70745511054993,0.2102667741477489,38951710.18407046,12.89377309481303,0.3447553878029187
cifar10,3000.0,3000.0,0.1,0.0,dfa_random,0.0,0.3,10.0,64.0,0.1871999998887379,0.0083375098341426,0.1774739583333333,79.44766942823561,4.123072236055234e-05,0.9390615145365396,0.09375,0.8453115145365397,,15,4639251.814860026,22.512932872772215,0.3244182308514913,1.0007294058799745,28.413849941889445,0.219604226698478,79378508.6281835,8.794810473918915,0.4782163629929225
cifar10,3000.0,3000.0,0.2,0.0,dfa_random,0.0,0.3,10.0,64.0,0.1759333332379658,0.0073127562667132,0.1713541666666666,82.36206777704783,3.083009840830601e-05,0.9432291567325592,0.09375,0.8494791567325592,,15,5139073.831526693,22.39879422187805,0.3286282271146774,1.000726087888082,28.67252084414164,0.2310018703341483,240332402.57164085,8.428751830259959,0.4834495703379313
cifar10,3000.0,3000.0,0.4,0.0,dfa_random,0.0,0.3,10.0,64.0,0.1483333349227905,0.0070222622107017,0.1329427083333333,87.87327324114055,7.178879262899803e-08,0.9506613691647848,0.09375,0.8569113691647847,,15,6214743.79819336,21.717138274510702,0.3469968775908152,1.0008670687675476,27.29836294651032,0.2699350481232007,506659349.2185791,6.85081406434377,0.533840736746788
cifar10,10000.0,3000.0,0.0,0.0,dfa_random,0.0,0.3,10.0,64.0,0.1922222226858138,0.008281212852006,0.2033854166666666,74.67535518624392,2.668914252152464e-05,0.9042018989721934,0.09375,0.8104518989721934,,15,18907005.64857585,22.68651927312215,0.32618248462677,1.0007131497065227,29.97569014231364,0.2151541841526826,6170045636.189047,12.320848393440247,0.4257309943437576
cifar10,10000.0,3000.0,0.1,0.0,dfa_random,0.0,0.3,10.0,64.0,0.1932000006238619,0.0119298563831721,0.193359375,80.05459372232392,1.3631355783161323e-05,0.9152487019697824,0.09375,0.8214987019697825,,15,40567622.61524251,22.258250641822816,0.3442388534545898,1.0007693648338318,28.704138422012328,0.2244127737979093,3450216181.209749,11.190457312266032,0.4206388801336288
cifar10,10000.0,3000.0,0.2,0.0,dfa_random,0.0,0.3,10.0,64.0,0.161111111442248,0.0107077910593155,0.152734375,81.55967508625739,1.1674691984449778e-05,0.9240348319212596,0.09375,0.8302848319212596,,15,33566049.38190918,21.75363670984904,0.3522843410571416,1.0007694721221925,28.82051656246185,0.2395751064022381,28834036776.1368,11.076801212628682,0.4294309586286545
cifar10,10000.0,3000.0,0.4,0.0,dfa_random,0.0,0.3,10.0,64.0,0.1407111123204231,0.0064088125541572,0.1204427083333333,85.5917265953177,1.5411851240321184e-06,0.9374461770057678,0.09375,0.8436961770057678,,15,34128119.51524251,21.551113510131835,0.3463772118091582,1.000820481777191,27.84635996023814,0.2732749717930953,81727299076.28209,8.032353667418162,0.5001200666030248
cifar10,1000.0,3000.0,0.0,0.0,drtp_random,0.0,0.3,10.0,64.0,0.1258666669329007,0.0053733419253751,0.1209635416666666,100.17484892429997,-1.6886709026297266e-07,0.982549027601878,0.09375,0.8887990276018779,,15,77748537.98575033,18.64266254901886,0.4750874668359756,1.0004539211591086,28.19553076426188,0.1122317664325236,2.4416210653334125e+17,3.107750105857849,0.6484333237012228
cifar10,1000.0,3000.0,0.1,0.0,drtp_random,0.0,0.3,10.0,64.0,0.1070444444815317,0.0047060543700452,0.1053385416666666,99.89814976582882,-1.914796123326547e-07,0.9814515233039856,0.09375,0.8877015233039856,,15,72966937.98575033,18.62086808681488,0.476996585726738,1.0004565636316936,28.99681714375814,0.1139215029776095,1.713826450198152e+17,3.0457634846369426,0.6874573349952697
cifar10,1000.0,3000.0,0.2,0.0,drtp_random,0.0,0.3,10.0,64.0,0.1091111118594805,0.0045788411125882,0.1109375,99.9909214559012,-2.3017586445927298e-07,0.9821812907854716,0.09375,0.8884312907854716,,15,70889772.65241699,18.57747400601705,0.4800015836954117,1.0004452824592591,29.268372027079263,0.1135810869435468,1.2605553384520712e+17,2.877320075035095,0.6835375587145488
cifar10,1000.0,3000.0,0.4,0.0,drtp_random,0.0,0.3,10.0,64.0,0.1019333347678184,0.0033260556482189,0.0994791666666666,101.5205697696117,-3.0159850924003224e-07,0.9847583552201588,0.09375,0.8910083552201589,,15,64998572.65241699,18.439307475090025,0.4907019466161728,1.0004219571749369,30.725199349721272,0.1120885921021302,1.2536754894144995e+17,2.521318074067433,0.7302272518475851
cifar10,3000.0,3000.0,0.0,0.0,drtp_random,0.0,0.3,10.0,64.0,0.1165333335598309,0.0066267694470351,0.1140625,96.88224208993616,-1.8066715215593406e-09,0.981827739874522,0.09375,0.8880777398745219,,15,711177411.2981933,18.445962039629617,0.491481801867485,1.0004783829053243,28.117471186319985,0.1165881916880607,8.766300310392665e+21,3.599749970436096,0.5929689119259517
