condition,method,seed,feedback_seed,feedback_rank,epoch,n_train,input_noise,train_label_noise,loss,test_acc
nuisance_dominant,bp,4.0,0.0,0.0,14.0,512.0,0.15,0.2,0.6605764031410217,0.1728515625
nuisance_dominant,nmnc,3.0,2.0,0.0,14.0,512.0,0.15,0.2,1.4223531484603882,0.16259765625
nuisance_dominant,dfa_random,4.0,2.0,0.0,14.0,512.0,0.15,0.2,2647.519287109375,0.11767578125
nuisance_dominant,dfa_random,4.0,1.0,0.0,14.0,512.0,0.15,0.2,11553.7216796875,0.11865234375
nuisance_dominant,ndfa_random,4.0,0.0,0.0,14.0,512.0,0.15,0.2,0.465939313173294,0.319580078125
nuisance_dominant,nmnc,3.0,1.0,0.0,14.0,512.0,0.15,0.2,1.4189119338989258,0.161865234375
nuisance_dominant,ndfa_random,4.0,1.0,0.0,14.0,512.0,0.15,0.2,0.5886938571929932,0.33251953125
nuisance_dominant,dfa_random,4.0,0.0,0.0,14.0,512.0,0.15,0.2,3032.904541015625,0.133056640625
low_sample_noisy,ndfa_random,0.0,1.0,0.0,14.0,1024.0,0.05,0.0,0.0798898637294769,0.83740234375
low_sample_noisy,ndfa_random_kronecker,0.0,1.0,0.0,14.0,1024.0,0.05,0.0,0.0182740613818168,0.866455078125
low_sample_noisy,ndfa_random_kronecker,0.0,0.0,0.0,14.0,1024.0,0.05,0.0,0.0183820556849241,0.866455078125
low_sample_noisy,ndfa_random_kronecker,0.0,2.0,0.0,14.0,1024.0,0.05,0.0,0.0169737115502357,0.865234375
nuisance_dominant,vnc,3.0,2.0,0.0,14.0,512.0,0.15,0.2,1.0537811517715454,0.168701171875
task_aligned,vnc,4.0,0.0,0.0,14.0,512.0,0.15,0.4,1.412240982055664,0.851806640625
task_aligned,drtp_random,4.0,2.0,0.0,14.0,512.0,0.15,0.4,161262.296875,0.239990234375
low_sample_noisy,ndfa_random,0.0,2.0,0.0,14.0,1024.0,0.05,0.0,0.0757753029465675,0.83251953125
task_aligned,nmnc,4.0,0.0,0.0,14.0,512.0,0.15,0.4,1.4850502014160156,0.824951171875
low_sample_noisy,dfa_random,0.0,0.0,0.0,14.0,1024.0,0.05,0.0,821.4808959960938,0.40869140625
task_aligned,nmnc,4.0,2.0,0.0,14.0,512.0,0.15,0.4,1.4857314825057983,0.830810546875
task_aligned,nmnc,4.0,1.0,0.0,14.0,512.0,0.15,0.4,1.4846655130386353,0.82373046875
nuisance_dominant,fa_random,4.0,1.0,0.0,14.0,512.0,0.15,0.2,47095.76171875,0.124267578125
nuisance_dominant,fa_random,4.0,0.0,0.0,14.0,512.0,0.15,0.2,24631.37109375,0.1171875
low_sample_noisy,bp,0.0,0.0,0.0,14.0,1024.0,0.05,0.0,0.2909347116947174,0.61279296875
nuisance_dominant,fa_random,4.0,2.0,0.0,14.0,512.0,0.15,0.2,276848.25,0.1142578125
low_sample_noisy,fa_random,0.0,0.0,0.0,14.0,1024.0,0.05,0.0,478.6911926269531,0.255615234375
low_sample_noisy,ndfa_random,0.0,0.0,0.0,14.0,1024.0,0.05,0.0,0.0800114050507545,0.836669921875
low_sample_noisy,fa_random,0.0,2.0,0.0,14.0,1024.0,0.05,0.0,21797.064453125,0.163330078125
low_sample_noisy,fa_random,0.0,1.0,0.0,14.0,1024.0,0.05,0.0,10148.068359375,0.219482421875
low_sample_noisy,dfa_random,0.0,2.0,0.0,14.0,1024.0,0.05,0.0,541.72216796875,0.384765625
low_sample_noisy,dfa_random,0.0,1.0,0.0,14.0,1024.0,0.05,0.0,2038.2593994140625,0.44482421875
task_aligned,vnc,4.0,2.0,0.0,14.0,512.0,0.15,0.4,1.41025972366333,0.852294921875
task_aligned,vnc,4.0,1.0,0.0,14.0,512.0,0.15,0.4,1.4169704914093018,0.85498046875
nuisance_dominant,nmnc,1.0,2.0,0.0,14.0,1024.0,0.05,0.4,1.5369235277175903,0.146484375
nuisance_dominant,nmnc,1.0,1.0,0.0,14.0,1024.0,0.05,0.4,1.6137301921844482,0.144775390625
nuisance_dominant,dfa_random,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,86250.515625,0.124755859375
nuisance_dominant,bp,2.0,0.0,0.0,14.0,1024.0,0.05,0.4,0.8842280507087708,0.168212890625
task_aligned,nmnc,1.0,0.0,0.0,14.0,1024.0,0.05,0.4,1.6149441003799438,0.88720703125
nuisance_dominant,nmnc,1.0,0.0,0.0,14.0,1024.0,0.05,0.4,1.606619358062744,0.1455078125
task_aligned,nmnc,1.0,2.0,0.0,14.0,1024.0,0.05,0.4,1.612451195716858,0.89111328125
task_aligned,nmnc,1.0,1.0,0.0,14.0,1024.0,0.05,0.4,1.6147173643112185,0.893798828125
task_aligned,fa_random,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,1163340.375,0.456298828125
low_sample_noisy,drtp_random,2.0,0.0,0.0,14.0,4096.0,0.15,0.4,592269082624.0,0.111328125
low_sample_noisy,ndfa_random_kronecker,2.0,2.0,0.0,14.0,4096.0,0.15,0.4,0.3109566569328308,0.47705078125
low_sample_noisy,drtp_random,2.0,1.0,0.0,14.0,4096.0,0.15,0.4,1255558742016.0,0.118408203125
nuisance_dominant,vnc,1.0,1.0,0.0,14.0,1024.0,0.05,0.4,1.3922395706176758,0.1533203125
task_aligned,dfa_random,2.0,2.0,0.0,14.0,4096.0,0.15,0.4,685.0277099609375,0.446044921875
