condition,method,reference,seed,mean_delta_pp
nuisance_dominant,ndfa_random,dfa_random,0.0,40.93424479166667
nuisance_dominant,ndfa_random,dfa_random,1.0,36.55827840169271
nuisance_dominant,ndfa_random,dfa_random,2.0,40.24556477864584
nuisance_dominant,ndfa_random,dfa_random,3.0,41.65166219075521
nuisance_dominant,ndfa_random,dfa_random,4.0,39.8956298828125
low_sample_noisy,ndfa_random,dfa_random,0.0,30.796305338541664
low_sample_noisy,ndfa_random,dfa_random,1.0,34.391021728515625
low_sample_noisy,ndfa_random,dfa_random,2.0,31.901550292968757
low_sample_noisy,ndfa_random,dfa_random,3.0,28.18222045898437
low_sample_noisy,ndfa_random,dfa_random,4.0,29.120635986328125
mixed_context,ndfa_random,dfa_random,0.0,21.591695149739586
mixed_context,ndfa_random,dfa_random,1.0,22.794087727864586
mixed_context,ndfa_random,dfa_random,2.0,21.80811564127604
mixed_context,ndfa_random,dfa_random,3.0,21.933746337890625
mixed_context,ndfa_random,dfa_random,4.0,21.964263916015625
task_aligned,ndfa_random,dfa_random,0.0,12.206268310546877
task_aligned,ndfa_random,dfa_random,1.0,16.400146484375
task_aligned,ndfa_random,dfa_random,2.0,17.4407958984375
task_aligned,ndfa_random,dfa_random,3.0,15.929412841796877
task_aligned,ndfa_random,dfa_random,4.0,17.281341552734375
