step,dfa_loss,bp_loss,grad_alignment,val_loss,gate_participation_l1,gate_participation_unit_l1,gate_strength_sq_l1,saturation_frac_l1,gate_saturation_frac_low_g_l1,teacher_reff_l1,gate_cv_l1,feedback_signal_norm_l1,angular_update_l1,weight_alignment_l1,param_grad_alignment_l1,feature_movement_l1,feature_path_l1,selected_loss_response_l1,residual_loss_response_l1,gate_participation_l2,gate_participation_unit_l2,gate_strength_sq_l2,saturation_frac_l2,gate_saturation_frac_low_g_l2,teacher_reff_l2,gate_cv_l2,feedback_signal_norm_l2,angular_update_l2,weight_alignment_l2,param_grad_alignment_l2,feature_movement_l2,feature_path_l2,selected_loss_response_l2,residual_loss_response_l2,gate_participation_l3,gate_participation_unit_l3,gate_strength_sq_l3,saturation_frac_l3,gate_saturation_frac_low_g_l3,teacher_reff_l3,gate_cv_l3,feedback_signal_norm_l3,angular_update_l3,weight_alignment_l3,param_grad_alignment_l3,feature_movement_l3,feature_path_l3,selected_loss_response_l3,residual_loss_response_l3
1,6.922144889831543,6.922144889831543,0.042971013188743884,6.90637731552124,0.9885216355323792,0.9885216355323792,0.7947732210159302,0.0,0.0,298.149658203125,0.06567851454019547,1.3998706551590074,8096.0244140625,6.913763783700233e-09,0.07594675939764572,0.0,0.0,0.15073475670984104,0.6982137583143485,0.9911265969276428,0.9911265969276428,0.826708197593689,0.0,0.0,298.5780334472656,0.05587068945169449,1.4655125337380435,5983.16357421875,-2.2263382248866037e-08,-0.006860059850093701,0.0,0.0,-0.15469052552935111,0.1367458069318376,0.993398904800415,0.993398904800415,0.8513095378875732,0.0,0.0,298.9502868652344,0.04705233499407768,1.4704019698218003,5043.232421875,1.1873882321822293e-08,0.027970547188451923,0.0,0.0,0.16730839090998623,0.024103007881006718
2,6.888001441955566,6.888001441955566,0.042193966384420876,,0.9869816899299622,0.9869816899299622,0.7869915962219238,0.0,0.0,297.898681640625,0.06989457458257675,1.3901157660835088,8590.955078125,6.954067988118595e-09,0.06600352667709776,0.009078460065868849,0.009078460065868849,,,0.9901531934738159,0.9901531934738159,0.8216712474822998,0.0,0.0,298.40740966796875,0.05924362689256668,1.4586957291687288,6290.869140625,-2.227454309888799e-08,0.003019008563938175,0.013826002462810984,0.013826002462810984,,,0.9924841523170471,0.9924841523170471,0.8484898209571838,0.0,0.0,298.7895202636719,0.05053989961743355,1.4658171501535049,5397.19287109375,1.1865831872626131e-08,0.034882762583476376,0.016413146177485082,0.016413146177485082,,
3,6.671962261199951,6.671962261199951,0.032924063912290476,,0.9857635498046875,0.9857635498046875,0.7860215306282043,0.0,0.0,297.6970520019531,0.07369697093963623,1.3584967067460991,7956.5810546875,7.252668687840469e-09,0.04784041790920887,0.018619415758704152,0.018619415758704152,,,0.9892097115516663,0.9892097115516663,0.8202420473098755,0.0,0.0,298.2462158203125,0.062226008623838425,1.426131829446552,6245.3798828125,-2.2161319890301456e-08,0.008791882615618668,0.028510633745421225,0.028510633745421225,,,0.9926449656486511,0.9926449656486511,0.8508090376853943,0.0,0.0,298.81988525390625,0.05001838505268097,1.4320699807356858,5257.28076171875,1.1886398532112707e-08,0.030143511563386932,0.03377955664949295,0.03377955664949295,,
4,6.702328681945801,6.702328681945801,0.03597986605737627,,0.9838863015174866,0.9838863015174866,0.7746533751487732,0.0,0.0,297.3741455078125,0.07873903214931488,1.3521972517331051,7953.18798828125,7.638043975077835e-09,0.059814449965769345,0.02730633426931603,0.02730633426931603,,,0.9870179891586304,0.9870179891586304,0.8102994561195374,0.0,0.0,297.8610534667969,0.06869108229875565,1.4254593684639534,6700.0966796875,-2.197947779336573e-08,0.009503674133623592,0.04217797977680959,0.04217797977680959,,,0.9911291003227234,0.9911291003227234,0.8427093625068665,0.0,0.0,298.56793212890625,0.05507726967334747,1.424206174038995,5763.0107421875,1.1952849376939412e-08,0.021832829514736526,0.050042878826348794,0.050042878826348794,,
5,6.639652252197266,6.639652252197266,0.048466036514870026,,0.9782425165176392,0.9782425165176392,0.7651138305664062,0.0,0.0,296.40838623046875,0.09212779253721237,1.3237411573231097,8090.7421875,8.31317770177975e-09,0.07540278281122693,0.03586317769411452,0.03586317769411452,,,0.9817737340927124,0.9817737340927124,0.7991378307342529,0.0,0.0,296.9305114746094,0.08257590234279633,1.4010884978833984,7597.21435546875,-2.1734942734497054e-08,0.01976259532380572,0.0562898106402141,0.0562898106402141,,,0.9882182478904724,0.9882182478904724,0.8353015780448914,0.0,0.0,298.0788879394531,0.0638699159026146,1.411118102376522,6802.76416015625,1.2064274912404471e-08,0.03720387156894531,0.06734593358239933,0.06734593358239933,,
6,6.476285457611084,6.476285457611084,0.03617207594829098,,0.9807309508323669,0.9807309508323669,0.7735969424247742,0.0,0.0,296.8413391113281,0.08673021197319031,1.3019547763758834,6234.0625,9.08627484363933e-09,0.05715954067818923,0.04420828618600286,0.04420828618600286,,,0.9824100732803345,0.9824100732803345,0.8012920022010803,0.0,0.0,297.05316162109375,0.08167552947998047,1.3675713481208127,6524.435546875,-2.1377619674467496e-08,0.011309882637313824,0.07116258559869987,0.07116258559869987,,,0.9882398843765259,0.9882398843765259,0.8338870406150818,0.0,0.0,298.08642578125,0.06397268921136856,1.3870038820273989,6228.521484375,1.2200121801697605e-08,0.032988627795164635,0.08589767675659234,0.08589767675659234,,
7,6.383049011230469,6.383049011230469,0.03491340804889778,,0.9748797416687012,0.9748797416687012,0.7554227113723755,0.0,0.0,295.8057556152344,0.10022769868373871,1.2694274742291838,6209.5302734375,1.010561856418235e-08,0.05379916911712745,0.05048996162256096,0.05048996162256096,,,0.9751787185668945,0.9751787185668945,0.783423662185669,0.0,0.0,295.7109680175781,0.09898004680871964,1.342680947702845,7164.24853515625,-2.0899458164080897e-08,0.011563831161446658,0.08311098735959886,0.08311098735959886,,,0.9830853939056396,0.9830853939056396,0.8185049891471863,0.0,0.0,297.19171142578125,0.07768593728542328,1.3514316616009943,6995.6826171875,1.2392637138702867e-08,0.035466521165896256,0.10126685545843268,0.10126685545843268,,
8,6.219097137451172,6.219097137451172,0.0332062928671616,,0.9697251319885254,0.9697251319885254,0.7400748133659363,0.0,0.0,294.86968994140625,0.11064142733812332,1.2263474558615821,5842.326171875,1.1233296071111454e-08,0.057830864164356406,0.056643249916657465,0.056643249916657465,,,0.9671417474746704,0.9671417474746704,0.7635284662246704,0.0,0.0,294.2564392089844,0.1140599325299263,1.290724771407107,7433.1181640625,-2.034573931553041e-08,0.008776654055965505,0.09586280957475858,0.09586280957475858,,,0.9755032658576965,0.9755032658576965,0.8014394044876099,0.0,0.0,295.84637451171875,0.09440849721431732,1.3061779029844092,7748.3232421875,1.2635068991073695e-08,0.03149703115791956,0.11802294621944251,0.11802294621944251,,
9,6.175862789154053,6.175862789154053,0.039504971537776205,,0.9648635387420654,0.9648635387420654,0.7282330393791199,0.0,0.0,294.01898193359375,0.11924528330564499,1.204098621721251,5518.779296875,1.2837279683708402e-08,0.05429440134397893,0.062170667121478194,0.062170667121478194,,,0.9583870768547058,0.9583870768547058,0.7468608021736145,0.0,0.0,292.6031494140625,0.130125030875206,1.2562817808521296,7640.4970703125,-1.9580747689929012e-08,0.01742678410123673,0.10829982213413913,0.10829982213413913,,,0.9666441082954407,0.9666441082954407,0.7827009558677673,0.0,0.0,294.2268371582031,0.11146757006645203,1.2755865347132729,8447.921875,1.294867946199929e-08,0.04586246810591169,0.13582689776939894,0.13582689776939894,,
10,6.128633499145508,6.128633499145508,0.03325057325627355,6.061532020568848,0.9628857970237732,0.9628857970237732,0.7253475189208984,0.0,0.0,293.6824035644531,0.12283533811569214,1.1871809641874052,4965.7578125,1.4394630376557416e-08,0.05276085603218816,0.06723424983884285,0.06723424983884285,,,0.9511283040046692,0.9511283040046692,0.7344826459884644,0.0,0.0,291.31219482421875,0.14088524878025055,1.2409016108242363,7539.60302734375,-1.8814789726206982e-08,0.007277665721390976,0.12076895884138976,0.12076895884138976,,,0.9572751522064209,0.9572751522064209,0.769231915473938,0.0,0.0,292.4668884277344,0.12762701511383057,1.2546447012205697,8784.572265625,1.330750531991498e-08,0.04000762259331451,0.15481466264990287,0.15481466264990287,,
